Designator,Mid X,Mid Y,Layer,Rotation
C1,194.4800,-75.2410,Top,0
C2,124.7850,-86.8500,Top,0
C3,110.7950,-91.4400,Top,0
C4,115.4250,-98.3900,Top,0
C5,119.4950,-86.8500,Top,0
C6,174.2450,-76.2050,Top,0
C7,182.9450,-71.6150,Top,0
C8,128.5000,-106.5000,Top,0
C9,103.9200,-75.8200,Top,0
C10,108.7800,-125.6650,Top,0
C11,173.3300,-102.9330,Top,0
C12,113.6300,-125.6650,Top,0
C13,178.6200,-102.9330,Top,0
C14,118.4800,-125.6650,Top,0
C15,103.9300,-129.0150,Top,0
D1,116.0650,-91.4100,Top,0
D2,121.3150,-91.4100,Top,0
D3,126.5650,-91.4100,Top,0
D4,175.9500,-71.9850,Top,0
D5,112.5000,-87.2200,Top,0
F1,179.5150,-76.1750,Top,0
J1,190.6000,-64.6990,Top,0
J2,126.0000,-54.6250,Top,180
J3,141.1000,-74.6000,Top,0
J4,158.9000,-74.6000,Top,0
J5,104.2200,-104.1850,Top,0
J6,109.6500,-104.1850,Top,0
J7,163.2100,-85.5930,Top,0
J8,169.4000,-98.5000,Top,0
L1,112.8450,-80.5800,Top,0
L2,176.2950,-65.3450,Top,0
Q1,194.8150,-70.7890,Top,0
R1,189.6300,-75.2410,Top,0
R2,110.5750,-95.0400,Top,0
R3,115.4250,-95.0400,Top,0
R4,120.2750,-95.0400,Top,0
R5,127.2500,-59.6950,Top,0
R6,124.2500,-59.6950,Top,0
R7,186.3950,-67.5860,Top,0
R8,186.3950,-65.5860,Top,0
R9,107.9300,-71.1400,Top,0
R10,103.9200,-72.4700,Top,0
R11,171.9000,-106.0000,Top,0
R12,108.8200,-121.2750,Top,0
R13,113.6700,-121.2750,Top,0
R14,118.5200,-121.2750,Top,0
R15,103.9300,-125.6650,Top,0
R16,162.9200,-112.9270,Top,0
R17,167.7700,-112.9270,Top,0
R18,162.9250,-69.7650,Top,0
R19,167.7750,-69.7650,Top,0
SW1,137.0000,-57.5000,Top,0
U1,189.6100,-70.9800,Top,0
U2,123.2050,-71.4050,Top,0
U3,183.3950,-63.5860,Top,0
U4,117.4600,-106.5920,Top,0
U5,165.5900,-106.1300,Top,0
U6,135.9900,-100.0000,Top,0
